province,year,track,schoolName,minScore
内蒙古,2023,物理类,内蒙古大学,478
内蒙古,2024,物理类,内蒙古大学,508
内蒙古,2023,物理类,内蒙古大学创业学院,462
内蒙古,2024,物理类,内蒙古大学创业学院,376
内蒙古,2023,物理类,内蒙古工业大学,440
内蒙古,2024,物理类,内蒙古工业大学,410
内蒙古,2023,物理类,内蒙古师范大学,363
内蒙古,2024,物理类,内蒙古师范大学,285
内蒙古,2024,物理类,内蒙古建筑职业技术大学,260
内蒙古,2024,物理类,内蒙古机电职业技术学院,229
内蒙古,2023,物理类,内蒙古民族大学,325
内蒙古,2024,物理类,内蒙古民族大学,279
内蒙古,2023,物理类,内蒙古电子信息职业技术学院,378
内蒙古,2024,物理类,内蒙古电子信息职业技术学院,218
内蒙古,2023,物理类,内蒙古科技大学,434
内蒙古,2024,物理类,内蒙古科技大学,423
内蒙古,2023,物理类,内蒙古科技大学包头医学院,390
内蒙古,2024,物理类,内蒙古科技大学包头医学院,410
内蒙古,2023,物理类,内蒙古科技大学包头师范学院,447
内蒙古,2024,物理类,内蒙古科技大学包头师范学院,419
内蒙古,2023,物理类,内蒙古科技职业学院,319
内蒙古,2024,物理类,内蒙古科技职业学院,367
内蒙古,2023,物理类,内蒙古美术职业学院,307
内蒙古,2024,物理类,内蒙古美术职业学院,365
内蒙古,2023,物理类,内蒙古能源职业学院,330
内蒙古,2024,物理类,内蒙古能源职业学院,379
内蒙古,2023,物理类,内蒙古艺术学院,466
内蒙古,2024,物理类,内蒙古艺术学院,480
内蒙古,2023,物理类,内蒙古财经大学,456
内蒙古,2024,物理类,内蒙古财经大学,438
内蒙古,2023,物理类,内蒙古鸿德文理学院,459
内蒙古,2024,物理类,内蒙古鸿德文理学院,375
内蒙古,2023,物理类,包头职业技术学院,380
内蒙古,2024,物理类,包头职业技术学院,220
内蒙古,2024,物理类,包头轻工职业技术学院,243
内蒙古,2023,物理类,包头钢铁职业技术学院,374
内蒙古,2024,物理类,包头钢铁职业技术学院,234
内蒙古,2023,物理类,包头铁道职业技术学院,341
内蒙古,2024,物理类,包头铁道职业技术学院,329
内蒙古,2023,物理类,呼伦贝尔学院,432
内蒙古,2024,物理类,呼伦贝尔学院,407
内蒙古,2023,物理类,呼伦贝尔职业技术学院,339
内蒙古,2024,物理类,呼伦贝尔职业技术学院,336
内蒙古,2023,物理类,呼和浩特民族学院,323
内蒙古,2024,物理类,呼和浩特民族学院,345
内蒙古,2023,物理类,呼和浩特职业技术大学,343
内蒙古,2024,物理类,呼和浩特职业技术大学,306
内蒙古,2023,物理类,扎兰屯职业学院,379
内蒙古,2024,物理类,扎兰屯职业学院,281
内蒙古,2024,物理类,河套学院,409
内蒙古,2023,物理类,满洲里俄语职业学院,241
内蒙古,2024,物理类,满洲里俄语职业学院,203
内蒙古,2023,物理类,赤峰大学,446
内蒙古,2024,物理类,赤峰大学,392
内蒙古,2023,物理类,赤峰工业职业技术学院,247
内蒙古,2024,物理类,赤峰工业职业技术学院,160
内蒙古,2024,物理类,赤峰应用技术职业学院,305
内蒙古,2023,物理类,通辽职业学院,315
内蒙古,2024,物理类,通辽职业学院,321
内蒙古,2023,物理类,鄂尔多斯应用技术学院,471
内蒙古,2024,物理类,鄂尔多斯应用技术学院,406
内蒙古,2024,物理类,鄂尔多斯生态环境职业学院,396
内蒙古,2024,物理类,鄂尔多斯职业学院,400
内蒙古,2023,物理类,锡林郭勒职业学院,298
内蒙古,2024,物理类,锡林郭勒职业学院,276
内蒙古,2023,物理类,阿拉善职业技术学院,353
内蒙古,2024,物理类,阿拉善职业技术学院,336
内蒙古,2023,物理类,集宁师范学院,487
内蒙古,2024,物理类,集宁师范学院,419
北京,2023,综合类,中华女子学院,367
北京,2024,综合类,中华女子学院,434
北京,2025,综合类,中华女子学院,433
北京,2023,综合类,中国人民公安大学,486
北京,2024,综合类,中国人民公安大学,423
北京,2025,综合类,中国人民公安大学,464
北京,2023,综合类,中国人民大学,538
北京,2024,综合类,中国人民大学,559
北京,2025,综合类,中国人民大学,572
北京,2023,综合类,中国人民武装警察部队特种警察学院,528
北京,2024,综合类,中国人民武装警察部队特种警察学院,526
